CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
62.488.937/0011-87;COMERCIAL DELTA PONTO CERTO LTDA;128845;31/12/2018;59,79;31/12/2018;0;Liberado
52.504.024/0003-43;SUPERMERCADO PIERIM LTDA;22484;31/12/2018;180,27;31/12/2018;7,14;Liberado
61.585.865/0837-74;RAIA DROGASIL S A;16327;31/12/2018;39,9;31/12/2018;2,86;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1346;31/12/2018;90;31/12/2018;0,18;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;442093;31/12/2018;56,81;31/12/2018;19,73;Liberado
05.800.256/0016-83;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS LTDA;68036;31/12/2018;355,3;31/12/2018;39,58;Liberado
61.325.700/0001-40;SUPERMERCADO PEPE;573684;31/12/2018;262,45;03/01/2019;229,46;Liberado
47.508.411/2358-97;COMPANHIA BRASILEIRA DE DISTRIBUICAO;463219;31/12/2018;154,33;20/01/2019;0;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;93569;31/12/2018;178,83;23/01/2019;3,09;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;93581;31/12/2018;48,09;23/01/2019;0,83;Liberado
47.508.411/1282-09;COMPANHIA BRASILEIRA DE DISTRIBUICAO;362498;30/12/2018;172,08;30/12/2018;2,33;Liberado
49.742.505/0001-10;BELA CINTRA DE PAES E DOCES LIMITADA;52888;30/12/2018;38,89;30/12/2018;3,69;Liberado
45.543.915/0230-41;CARREFOUR COM E IND LTDA;21764;30/12/2018;155,49;30/12/2018;0;Liberado
96.416.565/0001-23;ROMILDA DA ROCHA DOS SANTOS RESTAURANTE ME;181;30/12/2018;52,7;30/12/2018;0;Liberado
45.543.915/0230-41;CARREFOUR COM E IND LTDA;44323;30/12/2018;373,69;30/12/2018;0;Liberado
61.412.110/0324-30;DROGARIA SAO PAULO S A;17903;30/12/2018;22,9;30/12/2018;0;Liberado
12.423.402/0001-88;CONCRETO COMERCIO DE ALIMENTOS LTDA;16112;30/12/2018;147,97;30/12/2018;26,45;Liberado
61.189.288/0355-60;Marisa Lojas SA;22354;30/12/2018;59,95;30/12/2018;0;Liberado
61.412.110/0344-83;DROGARIA SAO PAULO S A;149967;30/12/2018;29,8;30/12/2018;0;Liberado
33.014.556/0055-89;LOJAS AMERICANAS S/A;32493;30/12/2018;28,48;30/12/2018;32,9;Liberado
61.412.110/0344-83;DROGARIA SAO PAULO S A;94075;30/12/2018;139,76;30/12/2018;0;Liberado
00.144.314/0001-68;ROTISSERIE DELICIA DE COTIA LTDA;3918;30/12/2018;58,13;30/12/2018;89,76;Liberado
17.097.298/0003-64;A2A FAST FOOD LTDA;94771;30/12/2018;27,4;30/12/2018;34,52;Liberado
53.154.225/0010-50;BCEM COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;19981;30/12/2018;25,9;30/12/2018;0;Liberado
08.263.086/0001-57;GARDINI e GARDINI MERCEARIA E EMPORIO LTDA;93482;30/12/2018;83,89;30/12/2018;12,11;Liberado
47.508.411/0139-91;CIA BRAS - CIA BRASILEIRA DE DISTRIBUICA;437431;30/12/2018;157,98;20/01/2019;0;Liberado
57.070.500/0001-17;DOCERIA 232 LTDA EPP;6873;30/12/2018;6,9;09/01/2019;3,84;Liberado
57.070.500/0001-17;DOCERIA 232 LTDA EPP;6878;30/12/2018;24,9;09/01/2019;13,88;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;93518;30/12/2018;32,79;23/01/2019;0,56;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;372535;29/12/2018;6,9;29/12/2018;1,28;Liberado
61.189.288/0355-60;MARISA LOJAS S A;12444;29/12/2018;39,98;30/12/2018;0;Liberado
03.476.811/0886-52;DIA BRASIL SOCIEDADE LIMITADA;2371;29/12/2018;30,08;29/12/2018;0;Liberado
47.508.411/0619-61;COMPANHIA BRASILEIRA DE DISTRIBUICAO;111326;29/12/2018;63,7;29/12/2018;0;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;221950;29/12/2018;88,86;29/12/2018;30,87;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1336;29/12/2018;70;29/12/2018;0,14;Liberado
08.263.086/0001-57;GARDINI e GARDINI MERCEARIA E EMPORIO LTDA;125336;29/12/2018;101,88;29/12/2018;14,7;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1335;29/12/2018;130;29/12/2018;0,26;Liberado
15.425.654/0010-25;COTTON ON DO BRASIL COMERCIAL E PARTICIPACOES LTD;15123;29/12/2018;204,8;29/12/2018;257;Liberado
03.476.811/0344-80;DIA BRASIL SOCIEDADE LIMITADA;10117;29/12/2018;133,33;29/12/2018;1,14;Liberado
26.174.731/0001-47;RODRIGUES LAMBERT e CIA LTDA ME;15768;29/12/2018;49,01;29/12/2018;0;Liberado
03.280.503/0001-56;HT RESTAURANTES LTDA;20489;29/12/2018;39,77;07/01/2019;30,85;Liberado
61.099.834/0659-93;ARTHUR LUNDGREN TECIDOS S/A-CASAS PERNAMBUCANAS;8609;29/12/2018;79,98;29/12/2018;0;Liberado
14.160.367/0001-87;FUOCO MOOCA COMERCIO E CALCADOS LTDA;18196;29/12/2018;39,9;29/12/2018;0;Liberado
14.160.367/0001-87;FUOCO MOOCA COMERCIO DE CALCADOS LTDA;93171;29/12/2018;122,7;29/12/2018;121,44;Liberado
47.508.411/1697-38;COMPANHIA BRASILEIRA DE DISTRIBUICAO;45279;29/12/2018;271,99;29/12/2018;0;Liberado
04.126.722/0002-29;A M A COMERCIO DE ALIMENTOS LTDA;350050;29/12/2018;24;29/12/2018;35,29;Liberado
04.126.722/0002-29;A M A COMERCIO DE ALIMENTOS LTDA;350037;29/12/2018;40;29/12/2018;58,82;Liberado
33.014.556/0238-03;LOJAS AMERICANAS S A;91059;29/12/2018;3,98;29/12/2018;3,97;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1333;29/12/2018;90;29/12/2018;0,18;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;372421;29/12/2018;35,8;29/12/2018;6,67;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1332;29/12/2018;120;29/12/2018;0,24;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1331;29/12/2018;120;29/12/2018;0,24;Liberado
47.508.411/2085-71;COMPANHIA BRASILEIRA DE DISTRIBUICAO;49021;29/12/2018;127,89;29/12/2018;0;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;498168;29/12/2018;27,23;29/12/2018;9,46;Liberado
62.647.045/0001-00;SUPERMERCADOS YAYA LT;1573;29/12/2018;155,12;29/12/2018;33,93;Liberado
61.585.865/0020-14;1016 - RAIADROGASIL S/A;238;29/12/2018;78,11;29/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1330;29/12/2018;130;29/12/2018;0,26;Liberado
61.585.865/0162-36;RAIA DROGASIL S A;26339;29/12/2018;14,31;29/12/2018;3,55;Liberado
01.157.555/0008-80;TENDA ATACADO LTDA;35328;29/12/2018;351,05;29/12/2018;2,36;Liberado
12.948.843/0001-01;DB PIRUETA COMERCIAL LTDA;20238;29/12/2018;16,79;29/12/2018;1,25;Liberado
61.585.865/1772-48;RAIA DROGASIL S A;16479;29/12/2018;88,77;29/12/2018;9,61;Liberado
61.412.110/0286-70;DROGARIA SAO PAULO S A;40309;29/12/2018;3,99;29/12/2018;0;Liberado
61.325.700/0001-40;SUPERMERCADO PEPE;566065;29/12/2018;316,5;30/12/2018;257;Liberado
07.734.216/0001-20;EMERCADO COUNTRY LTDA - EPPF;101387;29/12/2018;115,66;10/01/2019;0,55;Liberado
47.508.411/2235-38;COMPANHIA BRASILEIRA DE DISTRIBUICAO;151547;29/12/2018;121,69;20/01/2019;0;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;372239;28/12/2018;25,19;28/12/2018;4,69;Liberado
04.869.944/0001-50;RM RODRIGUES e MACEDO SACOLAO LIMITADA;98438;28/12/2018;75,21;29/12/2018;74,09;Liberado
01.937.635/0034-40;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;113039;28/12/2018;142,35;28/12/2018;178,58;Liberado
61.585.865/1720-17;RAIA DROGASIL S A;41090;28/12/2018;139,25;28/12/2018;16,72;Liberado
67.954.404/0002-76;SS COM DE ALIMENTOS LT;152542;28/12/2018;35,12;28/12/2018;34,95;Liberado
61.721.320/0013-69;COMERCIAL DE PNEUS ROMA LTDA.;26138;28/12/2018;556;28/12/2018;0;Liberado
71.676.316/0005-70;SUPERMERCADOS MAMBO LTDA.;197487;28/12/2018;187,16;28/12/2018;0;Liberado
16.881.767/0007-00;MERCADAO ATACADISTA COMERCIAL DE ALIMENTOS LTDA;29691;28/12/2018;645,46;28/12/2018;0;Liberado
65.644.478/0001-08;CEDRAL COMERCIAL LTDA;27213;28/12/2018;143,61;28/12/2018;78,81;Liberado
59.784.868/0001-72;CONIBASE COM DE MAT P CONSTR LT;4904;28/12/2018;30,29;28/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1327;28/12/2018;100;28/12/2018;0,2;Liberado
12.316.059/0005-04;BRASIL/CT - COMERCIO E TURISMO S.A.;329890;28/12/2018;128,77;28/12/2018;0;Liberado
10.834.344/0004-00;DROGA RAPHAEL SANSANA LTDA;121838;28/12/2018;30,7;28/12/2018;0;Liberado
23.530.881/0002-39;CREPERIA DA CIDADE LTDA ME;5424;28/12/2018;129,3;28/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1326;28/12/2018;120;28/12/2018;0,24;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1325;28/12/2018;340;28/12/2018;0,68;Liberado
63.004.030/0008-62;C C CASA E CONSTRUCAO LTDA;214608;28/12/2018;94,99;28/12/2018;0;Liberado
23.338.487/0001-12;Magazine Juliana;2592;28/12/2018;20,18;28/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1324;28/12/2018;240;28/12/2018;0,48;Liberado
43.283.811/0037-60;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;4520;28/12/2018;42,2;28/12/2018;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;501;28/12/2018;270,39;28/12/2018;0;Liberado
47.960.950/0897-85;MAGAZINE LUIZA S/A;413619;28/12/2018;299,9;28/12/2018;0;Liberado
63.004.030/0008-62;C&C CASA E CONSTRUCAO LTDA;487181;28/12/2018;99,27;30/12/2018;116,52;Liberado
63.004.030/0008-62;C&C CASA E CONSTRUCAO LTDA;194370;28/12/2018;132,78;30/12/2018;155,85;Liberado
61.412.110/0078-34;DROGARIA SAO PAULO S/A;542222;28/12/2018;20,19;01/01/2019;0;Liberado
61.099.834/0092-28;ARTHUR LUNDGREN TECIDOS S/A - CP;220342;28/12/2018;235,93;07/01/2019;257;Liberado
15.618.860/0001-60;ALTO DOURO COMERCIO DE LANCHES LTDA -;391201;28/12/2018;17,5;07/01/2019;9,76;Liberado
15.618.860/0001-60;ALTO DOURO COMERCIO DE LANCHES LTDA -;391202;28/12/2018;6,5;07/01/2019;3,62;Liberado
21.942.720/0001-46;MZ COMERCIO DE CARNE E ROTISSERIE LTDA;279642;28/12/2018;43,24;21/01/2019;257;Liberado
61.585.865/0359-66;RAIA DROGASIL S.A.;166423;28/12/2018;106,96;22/01/2019;17,76;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;271083;27/12/2018;21,36;27/12/2018;7,42;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;497156;27/12/2018;36,14;27/12/2018;12,55;Liberado
62.545.579/0008-00;CARREFOUR COM E IND LTDA;58685;27/12/2018;155,55;27/12/2018;27,33;Liberado
60.437.647/0019-36;SILVA E BARBOSA COMERCIO DE ALIMENTOS LTDA;65344;27/12/2018;417;27/12/2018;256,89;Liberado
61.412.110/0348-07;DROGARIA SAO PAULO S A;64020;27/12/2018;173,06;27/12/2018;0;Liberado
61.412.110/0348-07;DROGARIA SAO PAULO S A;64019;27/12/2018;103,55;27/12/2018;0;Liberado
61.099.834/0659-93;ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS;20636;27/12/2018;79,98;27/12/2018;257;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1321;27/12/2018;300;27/12/2018;0,6;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;69465;27/12/2018;20;27/12/2018;0;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;69464;27/12/2018;60;27/12/2018;0;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;69463;27/12/2018;80;27/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1320;27/12/2018;60;27/12/2018;0,12;Liberado
60.621.992/0001-04;SUPER MERCADO YAMAUCHI LTDA;34993;27/12/2018;58,08;27/12/2018;29,1;Liberado
17.655.944/0001-08;RAFAEL TOSHIO UEHARA;23279;27/12/2018;281,37;27/12/2018;0;Liberado
09.060.964/0053-20;PIMENTA VERDE ALIMENTOS LTDA;29815;27/12/2018;69;27/12/2018;56,36;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1319;27/12/2018;100;27/12/2018;0,2;Liberado
04.908.981/0001-20;M.BOOKS DO BRASIL EDITORA LTDA.;56144;27/12/2018;357;28/12/2018;0;Liberado
01.564.631/0001-04;STILO BORRACHAS E PLASTICOS LTDA;19202;27/12/2018;123;27/12/2018;0;Liberado
12.226.495/0001-50;LOGITEX DISTRIBUICAO E LOGISTICA LTDA;42145;27/12/2018;92,78;27/12/2018;0;Liberado
12.316.059/0005-04;BRASIL/CT - COMERCIO E TURISMO S.A.;328875;27/12/2018;106,58;27/12/2018;0;Liberado
02.549.955/0001-28;NOVA OP GRILL BAR E RESTAURANTE EIRELI;70158;27/12/2018;39,56;07/01/2019;7,1;Liberado
61.585.865/0058-97;RAIA DROGASIL S.A.;326434;27/12/2018;296,31;23/01/2019;19,32;Liberado
01.438.784/0006-01;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;42854;26/12/2018;1917,47;26/12/2018;257;Liberado
61.412.110/0286-70;DROGARIA SAO PAULO S A;188257;26/12/2018;100,22;26/12/2018;0;Liberado
61.585.865/1278-10;RAIA DROGASIL S A;128844;26/12/2018;27,3;26/12/2018;1,24;Liberado
65.837.916/0044-86;Demac Produtos Farmceuticos Ltda;6743;26/12/2018;13,59;26/12/2018;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;292;26/12/2018;120,04;26/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1316;26/12/2018;50;26/12/2018;0,1;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;362524;26/12/2018;30;26/12/2018;5,58;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1314;26/12/2018;120;26/12/2018;0,24;Liberado
03.476.811/0344-80;DIA BRASIL SOCIEDADE LIMITADA;59110;26/12/2018;119,9;26/12/2018;1,02;Liberado
07.984.267/0005-33;STARBUCKS BRASIL COMERCIO DE CAFES LTDA;87642;26/12/2018;15,4;26/12/2018;0;Liberado
47.508.411/0288-32;COMPANHIA BRASILEIRA DE DISTRIBUICAO;204705;26/12/2018;24,2;26/12/2018;0;Liberado
18.251.837/0001-79;LRD RESTAURANTES LTDA;1118;26/12/2018;29,9;26/12/2018;11,01;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1311;26/12/2018;20;26/12/2018;0,04;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;204;26/12/2018;30,03;26/12/2018;0;Liberado
67.389.718/0001-92;GIULIANA COM. DE FLORES E ARRANJOS LTDA ME;2954071;26/12/2018;0;26/12/2018;0;Liberado
67.389.718/0001-92;GIULIANA COM. DE FLORES E ARRANJOS LTDA ME;2954070;26/12/2018;191,05;26/12/2018;0;Liberado
65.837.916/0044-86;DEMAC PRODUTOS FARMACEUTICOS LTDA;212719;26/12/2018;13,59;27/12/2018;0;Liberado
02.743.218/0010-52;DROGA EX LTDA;377318;26/12/2018;29,4;27/12/2018;9,48;Liberado
62.176.763/0001-45;IRM?OS KUROBA LTDA;34062;26/12/2018;14,45;26/02/2019;1,08;Liberado
09.592.637/0001-99;LUART LINGERIE CONFECCOES E COMERCIO LTD;12778;26/12/2018;265,9;17/01/2019;0;Liberado
07.211.791/0001-48;T.G. TONIN E CIA LTDA.;238656;26/12/2018;43,9;16/01/2019;0;Liberado
61.585.865/1278-10;RAIA DROGASIL S A;128693;25/12/2018;448,56;25/12/2018;20,45;Liberado
10.557.748/0001-43;AUTO POSTO ROTA RADIAL LTDA;70099;25/12/2018;70;25/12/2018;0;Liberado
33.014.556/0415-42;LOJAS AMERICANAS S.A.;285961;25/12/2018;112,96;14/01/2019;0;Liberado
61.585.865/0699-41;RAIA DROGASIL S A;11264;24/12/2018;13,29;24/12/2018;1,32;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1307;24/12/2018;100;26/12/2018;0,2;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1306;24/12/2018;160;24/12/2018;0,32;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1302;24/12/2018;110;24/12/2018;0,22;Liberado
01.937.635/0034-40;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;91686;24/12/2018;159,42;24/12/2018;200;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;370819;24/12/2018;193,29;24/12/2018;36,01;Liberado
04.039.531/0001-49;FLORESTA DA MOOCA PRODUTOS NATURAIS LTDA;44971;24/12/2018;99,9;24/12/2018;13,62;Liberado
47.508.411/0619-61;COMPANHIA BRASILEIRA DE DISTRIBUICAO;86940;24/12/2018;131,07;24/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1296;24/12/2018;300;24/12/2018;0,6;Liberado
02.602.747/0001-45;DIGISERVI TRADING LTDA - ME;3836;24/12/2018;90,89;24/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1294;24/12/2018;150;24/12/2018;0,3;Liberado
08.263.086/0001-57;GARDINI e GARDINI MERCEARIA E EMPORIO LTDA;92630;24/12/2018;278,63;24/12/2018;40,22;Liberado
33.041.260/1615-08;VIA VAREJO S/A;5571760;24/12/2018;135,14;24/12/2018;0;Liberado
07.170.938/0140-78;CNOVA COMERCIO ELETRONICO S/A;364094;24/12/2018;69,72;24/12/2018;0;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;146255;24/12/2018;62,64;23/01/2019;1,08;Liberado
30.927.141/0001-15;SHABC RESTAURANTE LTDA;7159;23/12/2018;184,91;23/12/2018;60,44;Liberado
08.684.366/0001-39;SIMONE VILLANO ALMEIDA CHADAD ME;38753;23/12/2018;209,96;23/12/2018;16,11;Liberado
71.676.316/0005-70;SUPERMERCADOS MAMBO LTDA.;196969;23/12/2018;328,03;23/12/2018;0;Liberado
17.261.661/0081-58;OUTBACK STEAKHOUSE RESTAURANTES BRASIL S A;135632;23/12/2018;152,68;23/12/2018;62,17;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1291;23/12/2018;160;23/12/2018;0,32;Liberado
07.147.692/0002-25;BERTHO BONO LOJA DE DEPARTAMENTOS LTDA;21288;23/12/2018;76,09;23/12/2018;100,06;Liberado
51.594.265/0001-04;PAES E DOCES GATO DE OURO LTDA ME;8642;23/12/2018;43;23/12/2018;0,34;Liberado
14.554.271/0001-01;SANDREMI BAZAR E PAPELARIA LTDA;45622;23/12/2018;330,75;23/12/2018;257;Liberado
01.470.979/0006-39;VALDUMIRO DUTRA DA SILVA MODAS;29457;23/12/2018;320;23/12/2018;257;Liberado
24.275.462/0001-80;CH PREMIERE CARNES E ROTISSERIE EIRELI;24496;23/12/2018;28,27;23/12/2018;0;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;361940;23/12/2018;26,06;23/12/2018;4,85;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;361939;23/12/2018;55,92;23/12/2018;10,41;Liberado
01.937.635/0034-40;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;2429;23/12/2018;154,15;23/12/2018;193,38;Liberado
33.200.056/0335-86;LOJAS RIACHUELO SA;12035;23/12/2018;65,8;23/12/2018;63,67;Liberado
47.508.411/1270-67;COMPANHIA BRASILEIRA DE DISTRIBUICAO;67124;23/12/2018;60,77;23/12/2018;0;Liberado
47.683.388/0001-36;COSTA MONTEIRO CONFECCOES EIRELI;8047;23/12/2018;354;24/12/2018;0;Liberado
47.427.653/0003-87;MAKRO ATACADISTA S A;44514;23/12/2018;299,63;23/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1282;23/12/2018;200;23/12/2018;0,4;Liberado
47.508.411/0002-37;COMPANHIA BRASILEIRA DE DISTRIBUICAO;15192;23/12/2018;215,89;23/12/2018;0;Liberado
47.960.950/0897-85;MAGAZINE LUIZA S/A;356326;23/12/2018;250,15;23/12/2018;0;Liberado
75.315.333/0006-13;ATACADAO S.A.;461370;23/12/2018;389,12;24/12/2018;257;Liberado
47.508.411/1457-15;CIA. BRASILEIRA DE DISTRIBUI  O;464494;23/12/2018;446,69;20/01/2019;0;Liberado
47.508.411/0863-60;E CIA BRASILEIRA DE DISTRIBUICAO F;450248;23/12/2018;212,73;20/01/2019;0;Liberado
58.731.662/0005-45;RI HAPPY BRINQUEDOS S A;3911;22/12/2018;279,98;22/12/2018;133,32;Liberado
45.543.915/0050-60;CARREFOUR COM E IND LTDA;32813;22/12/2018;2099;22/12/2018;0;Liberado
45.543.915/0050-60;CARREFOUR COMERCIO E INDUSTRIA LTDA;340563;22/12/2018;2099;22/12/2018;0;Liberado
01.438.784/0063-08;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;42624;22/12/2018;121,9;22/12/2018;81,57;Liberado
33.200.056/0335-86;LOJAS RIACHUELO SA;16160;22/12/2018;654,7;23/12/2018;257;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1276;22/12/2018;100;22/12/2018;0,2;Liberado
47.508.411/0980-24;COMPANHIA BRASILEIRA DE DISTRIBUICAO;17403;22/12/2018;194,24;22/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1275;22/12/2018;100;22/12/2018;0,2;Liberado
61.585.865/1093-23;RAIA DROGASIL S A;67593;22/12/2018;77,35;22/12/2018;2,36;Liberado
03.476.811/0344-80;DIA BRASIL SOCIEDADE LIMITADA;8433;22/12/2018;162,13;22/12/2018;1,39;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1274;22/12/2018;180;22/12/2018;0,36;Liberado
92.754.738/0389-92;LOJAS RENNER S A;1684;22/12/2018;99,7;22/12/2018;257;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1272;22/12/2018;220;22/12/2018;0,44;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1271;22/12/2018;600;22/12/2018;1,21;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;3678640;22/12/2018;0,81;22/12/2018;0;Liberado
09.060.964/0110-53;PIMENTA VERDE ALIMENTOS LTDA;39050;22/12/2018;110,6;22/12/2018;17,28;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1267;22/12/2018;60;22/12/2018;0,12;Liberado
01.937.635/0029-83;SONDA SUPERMERCADOS EXP.E IMP.S.A;201721;22/12/2018;306,7;22/12/2018;0;Liberado
01.937.635/0029-83;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;38871;22/12/2018;306,7;22/12/2018;20,48;Liberado
61.585.865/1528-49;RAIA DROGASIL S A;78933;22/12/2018;61,04;22/12/2018;53,58;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1265;22/12/2018;80;22/12/2018;0,16;Liberado
04.126.722/0002-29;A M A COMERCIO DE ALIMENTOS LTDA;348124;22/12/2018;146;22/12/2018;214,72;Liberado
61.267.019/0001-93;PADARIA E CONFEITARIA FAMALICENSE LTDA;35697;22/12/2018;4,17;22/12/2018;0,31;Liberado
62.647.045/0001-00;SUPERMERCADOS YAYA LT;785;22/12/2018;157,62;22/12/2018;34,48;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1261;22/12/2018;130;22/12/2018;0,26;Liberado
01.157.555/0008-80;TENDA ATACADO LTDA;33172;22/12/2018;219,94;22/12/2018;1,48;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;436345;22/12/2018;56,67;22/12/2018;19,68;Liberado
21.372.089/0001-97;MERKLAR;310276;22/12/2018;51,29;14/01/2019;10,27;Liberado
26.392.830/0001-03;G MOOCA COMERCIO VAREJISTA DE ALIMENTOS LTDA;2350;21/12/2018;45,8;21/12/2018;118,42;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;370023;21/12/2018;37,43;21/12/2018;6,97;Liberado
33.014.556/0238-03;LOJAS AMERICANAS S A;57318;21/12/2018;113,88;21/12/2018;113,84;Liberado
14.987.685/0018-64;DAISO BRASIL COMERCIO E IMPORTACAO LTDA;49651;21/12/2018;63,94;21/12/2018;121,04;Liberado
01.438.784/0002-88;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;24352;21/12/2018;43,38;21/12/2018;42,53;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1259;21/12/2018;200;22/12/2018;0,4;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1260;21/12/2018;120;22/12/2018;0,24;Liberado
03.476.811/0344-80;DIA BRASIL SOCIEDADE LIMITADA;8367;21/12/2018;182,05;21/12/2018;1,56;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1258;21/12/2018;160;21/12/2018;0,32;Liberado
11.724.258/0001-57;BELEZA .COM COME.DE PRO.DE BELEZA E SER.DE CABELEIREIROS S.A;4271821;21/12/2018;209,36;21/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1256;21/12/2018;100;21/12/2018;0,2;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;69117;21/12/2018;40;21/12/2018;0;Liberado
04.908.981/0001-20;M.BOOKS DO BRASIL EDITORA LTDA.;56115;21/12/2018;357;21/12/2018;0;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA ME;1253;21/12/2018;50;21/12/2018;0,1;Liberado
05.644.040/0001-90;SUPRIMAX COM.DE EQUIP. GRAF. LTDA.-EPP;16670;21/12/2018;510;21/12/2018;0;Liberado
05.644.040/0001-90;SUPRIMAX COM.DE EQUIP. GRAF. LTDA.-EPP;16669;21/12/2018;765;21/12/2018;0;Liberado
07.072.832/0001-62;ALA VIP SC RESTAURANTE LTDA ME;86544;21/12/2018;60,4;26/12/2018;0;Liberado
52.323.243/0001-64;CASA DE CARNES COMERCY LTDA ME;15587;21/12/2018;55,13;21/12/2018;0;Liberado
